,,,,,,,,CoreA,,,CoreB,,,CoreC,,,CoreD,,
SOCVendor,SOCModel,ProductName,ReleaseTime,GPUBrand,GPUModel,GPUCore,GPUFreq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq
MediaTek,MT6765V/XBA,,,PowerVR,GE8320,1,680,,,,,,,A53,4,2.3,A53,4,1.8
MediaTek,MT6768G,,,Mali,G52,2,820,,,,,,,A75,2,2,A55,6,1.7
MediaTek,MT6768V/CA,Helio P65,2019.3Q,Mali,G52,2,820,,,,,,,A75,2,2,A55,6,1.7
MediaTek,MT6769H,Helio G88,2021.3Q,Mali,G52,2,1000,,,,,,,A75,2,2,A55,6,1.8
MediaTek,MT6769T,Helio G80,2020.2Q,Mali,G52,2,950,,,,,,,A75,2,2,A55,6,1.8
MediaTek,MT6769V/CB,Helio G70,2020.1Q,Mali,G52,2,820,,,,,,,A75,2,2,A55,6,1.7
MediaTek,MT6769V/CT,,,Mali,G52,2,950,,,,,,,A75,2,2,A55,6,1.8
MediaTek,MT6769V/CU,Helio G80,2020,Mali,G52,2,950,,,,,,,A75,2,2,A55,6,1.8
MediaTek,MT6769V/CZ,,,Mali,G52,2,950,,,,,,,A75,2,2,A55,6,1.8
MediaTek,MT6769V/WB,,,Mali,G52,2,950,,,,,,,A75,2,2,A55,6,1.8
MediaTek,MT6769Z,Helio G85,2020.2Q,Mali,G52,2,1000,,,,,,,A75,2,2,A55,6,1.8
MediaTek,MT6771V/C,Helio P60,,Mali,G72,3,800,,,,,,,A73,4,2.1,A53,4,2
MediaTek,MT6771V/C(ENG),,,Mali,G72,3,800,,,,,,,A73,4,2.1,A53,4,2
MediaTek,MT6771V/CT,,,Mali,G72,3,800,,,,,,,A73,4,2.1,A53,4,2
MediaTek,MT6771V/W,,,Mali,G72,3,800,,,,,,,A73,4,2.1,A53,4,2
MediaTek,MT6771V/WL,,,Mali,G72,3,800,,,,,,,A73,4,2.1,A53,4,2
MediaTek,MT6771V/WM,,,Mali,G72,3,800,,,,,,,A73,4,2.1,A53,4,2
MediaTek,MT6771V/WT,Helio P70,2018.4Q,Mali,G72,3,800,,,,,,,A73,4,2.1,A53,4,2
MediaTek,MT6779V/CV,Helio P90,2019.1Q,PowerVR,GM9446,1,970,,,,,,,A75,2,2.2,A55,6,2
MediaTek,MT6781,Helio G96,2021.3Q,Mali,G57,2,950,,,,,,,A76,2,2.05,A55,6,2
MediaTek,MT6781V/CD,Helio G96,2021.3Q,Mali,G57,2,950,,,,,,,A76,2,2.05,A55,6,2
MediaTek,MT6781V/CDZAMB-H,Helio G96,2021.3Q,Mali,G57,2,950,,,,,,,A76,2,2.05,A55,6,2
MediaTek,MT6785,,,Mali,G76,4,720,,,,,,,A76,2,2.05,A55,6,2
MediaTek,MT6785V/CC,Helio G90T,2019.3Q,Mali,G76,4,720,,,,,,,A76,2,2.05,A55,6,2
MediaTek,MT6785V/CD,Helio G90,2019.3Q,Mali,G76,4,800,,,,,,,A76,2,2.05,A55,6,2
MediaTek,MT6789V/CD,,,Mali,G57,2,,,,,,,,A76,2,2.2,A55,6,2
MediaTek,MT6797X,Helio X27,2017.1Q,Mali,T880,4,875,,,,A72,2,2.6,A53,4,2,A53,4,1.6
MediaTek,MT6833,Dimensity 810,2021.3Q,Mali,G57,2,950,,,,,,,A76,2,2.4,A55,6,2
